76,-7.2373
76.05,-7.261
76.1,-7.6153
76.15,-8.1842
76.2,-7.4131
76.25,-5.2179
76.3,-4.9783
76.35,-5.1399
76.4,-5.0909
76.45,-4.9795
76.5,-4.8567
76.55,-5.0845
76.6,-4.9614
76.65,-4.6757
76.7,-4.8662
76.75,-5.4013
76.8,-5.7126
76.85,-5.5359
76.9,-5.7396
76.95,-6.1633
77,-6.2237
77.05,-6.476
77.1,-6.711
77.15,-7.0235
77.2,-6.9761
77.25,-6.9624
77.3,-7.3059
77.35,-7.4368
77.4,-7.4544
77.45,-7.4155
77.5,-7.0853
77.55,-6.8756
77.6,-6.9644
77.65,-6.8495
77.7,-6.7829
77.75,-6.8342
77.8,-6.6563
77.85,-6.6424
77.9,-6.9752
77.95,-7.2851
78,-7.6461
78.05,-8.0291
78.1,-7.9642
78.15,-8.1184
78.2,-8.4174
78.25,-8.455
78.3,-8.4084
78.35,-8.5842
78.4,-8.4803
78.45,-8.2567
78.5,-8.2344
78.55,-7.8346
78.6,-7.7334
78.65,-7.7184
78.7,-7.2852
78.75,-6.9336
78.8,-7.2045
78.85,-7.3143
78.9,-7.0893
78.95,-7.3776
79,-7.4385
79.05,-7.2968
79.1,-7.7318
79.15,-8.1303
79.2,-8.534
79.25,-8.6361
79.3,-8.3241
79.35,-8.1498
79.4,-8.9204
79.45,-8.8112
79.5,-8.0461
79.55,-8.141
79.6,-7.9492
79.65,-7.3407
79.7,-7.2325
79.75,-7.5486
79.8,-6.8507
79.85,-6.481
79.9,-6.747
79.95,-6.6628
80,-6.7101
80.05,-6.8779
80.1,-6.7441
80.15,-6.3685
80.2,-6.1944
80.25,-5.9834
80.3,-6.2645
80.35,-6.5772
80.4,-6.4288
80.45,-6.2233
80.5,-6.0952
80.55,-5.6863
80.6,-5.4779
80.65,-5.7083
80.7,-5.787
80.75,-5.5505
80.8,-5.5906
80.85,-4.7908
80.9,-4.9427
80.95,-5.9355
81,-5.1772
